@relation genres

@attribute spotifygenre {'21st century classical','abstract beats',abstractro,'a cappella',accordeon,'acid jazz','acid techno',acousmatic,'acoustic blues','acoustic pop','acoustic punk','adelaide indie',adoracao,'adult standards','african gospel','african percussion',afrobeat,afrobeats,'afro house',afropop,'alaska indie','albanian hip hop','alberta country','album rock','alternative ccm','alternative country','alternative dance','alternative emo','alternative hip hop','alternative metal','alternative pop','alternative pop rock','alternative rock','alternative roots rock',alt-idol,ambeat,ambient,'ambient idm','american 21st century classical','american contemporary classical','american folk revival','american modern classical','anglican liturgy','anthem emo','anthem worship',anti-folk,'appalachian folk','arab alternative',arabesk,'arab folk','arabic hip hop','arab pop','argentine alternative rock','argentine hip hop','argentine indie','argentine rock','art pop','art rock',asmr,'atl hip hop',atmosphere,'atmospheric post-metal','atmospheric post-rock','aussie emo',aussietronica,austindie,'australian alternative rock','australian americana','australian classical','australian country','australian dance','australian garage punk','australian hip hop','australian indie','australian indie rock','australian indigenous','australian metal','australian pop','australian post-hardcore','australian r&b','australian reggae fusion','australian rock','australian singer-songwriter','australian underground hip hop','austro-german modernism','autonomous black metal',avant-garde,'avant-garde jazz','avantgarde metal',azonto,azontobeats,bachata,'baile funk','baile pop',balfolk,'balkan brass','ballet class','baltic classical',bangla,banjo,baroque,bassline,'bass music','bass trap',batida,'bay area indie',beatdown,bebop,'bedroom pop','belgian hip hop','belgian pop','belly dance',bhangra,'big band','big beat','big room',bluegrass,blues,blues-rock,boogaloo,boogie-woogie,'bossa nova','bossa nova jazz','boston hardcore','boston hip hop','boston indie','boston punk','boston rock','bow pop','boy band','brass band','brazilian ccm','brazilian composition','brazilian electronica','brazilian gospel','brazilian hip hop',breakbeat,'brega funk','brill building pop','brisbane indie','bristol indie','british alternative rock','british contemporary classical','british country','british jazz','british modern classical',britpop,'brooklyn indie',brostep,'bubblegum dance','bubblegum pop','bulgarian hip hop',c86,cabaret,'canadian blues','canadian classical','canadian contemporary country','canadian contemporary r&b','canadian country','canadian folk','canadian hip hop','canadian indie','canadian metal','canadian modern jazz','canadian pop','canadian punk','canadian rock','candy pop',cantautor,'canterbury scene',catstep,celtic,'chamber pop','chamber psych',chanson,'chanson paillarde','chant religieux','chaotic hardcore','chicago blues','chicago house','chicago indie','chicago punk','chicago soul','chicano rap','childrens folk kindie rock','childrens music','childrens music nursery','chilean indie','chilean rock',chillhop,chillstep,chillwave,choro,'christian alternative rock','christian hardcore','christian hip hop','christian metal','christian punk','christian relaxative','christian rock','christian trap','christian uplift',christmas,classical,'classical era','classical guitar','classical organ','classical performance','classical piano','classical trumpet','classic arab pop','classic belgian pop','classic bollywood','classic canadian rock','classic french pop','classic garage rock','classic girl group','classic praise','classic rock','classic soul','colombian indie','colombian pop','colombian rock','comedy rock',complextro,'compositional ambient','concert band','conscious hip hop','contemporary classical','contemporary country','contemporary jazz','contemporary post-bop','cool jazz',country,'country blues','country dawn','country gospel','country road','country rock',coverchill,'cowboy western','crack rock steady','crossover thrash',crunk,cuarteto,'cuban rumba',cumbia,'cumbia paraguaya','cumbia pop','cumbia villera','cyber metal',cyberpunk,dancehall,'dance pop',dance-punk,'dance rock',dangdut,'danish alternative rock','danish classical','danish metal','danish pop','dark jazz','dark wave','death core','death metal','deep acoustic pop','deep adult standards','deep big room','deep chiptune','deep christian rock','deep contemporary country','deep disco','deep disco house','deep euro house','deep funk','deep funk carioca','deep german hip hop','deep groove house','deep house','deep indian pop','deep indie pop','deep indie singer-songwriter','deep latin christian','deep new americana','deep pop edm','deep pop punk','deep pop r&b','deep southern trap','deep surf music','deep tech house','deep trap','deep tropical house','deep turkish pop','deep underground hip hop','delta blues',dembow,desi,'desi hip hop','detroit hip hop','detroit techno',didgeridoo,'dinner jazz','dirty south rap',disco,'disco house',disney,'diva house',djent,'doom metal',doo-wop,downtempo,dreamo,'dream pop',drift,drill,drone,'drone metal','drum and bass',dub,dubstep,'dub techno','dutch house','dutch indie','dutch pop','dutch punk','dutch rock',e6fi,'early modern classical','early music','early romantic era','east coast hip hop',easycore,'easy listening','ecuadorian alternative rock',edm,'edmonton indie','egyptian pop',electra,'electric blues',electro,electroclash,'electro dub','electro house','electro latino',electronic,'electronic trap',electropop,electropowerpop,'electro swing',emo,'emo rap','english baroque','english indie rock','english renaissance',epicore,'escape room','ethereal wave',etherpop,eurodance,europop,eurovision,exotica,experimental,'experimental pop','experimental rock','fallen angel','fast melodic punk','fidget house',filmi,'filter house',filthstep,fingerstyle,'finnish classical','finnish edm','float house',fluxwork,focus,folk,folk-pop,'folk punk','folk rock',footwork,'fourth world','franco-flemish school',francoton,'freak folk','free improvisation','free jazz','fremantle indie','french baroque','french contemporary classical','french folk pop','french hip hop','french indie pop','french indietronica','french jazz','french opera','french pop','french renaissance','french rock',funana,funk,'funk metal','funk rock','funky tech house','future garage','galante era','gangster rap','garage pop','garage psych','garage punk','garage punk blues','garage rock','gauze pop',gbvfi,'german baroque','german contemporary classical','german hip hop','german indie','german jazz','german metal','german opera','german pop','german renaissance','german techno','g funk','ghanaian hip hop',ghazal,'girl group','glam metal','glam rock',glitch,'glitch hop',gnawa,gospel,'gospel blues','gospel reggae','gothenburg indie','gothic alternative','gothic metal','gothic rock','gothic symphonic metal',gqom,'grave wave','greek contemporary classical',grime,'groove metal','groove room',grunge,'gypsy jazz','gypsy punk','haitian gospel','halifax indie','hard bop',hardcore,'hardcore hip hop','hardcore punk','hard rock',hauntology,'heartland rock','hebrew pop','hip hop','hip hop quebecois','hip house',hiplife,'hip pop','historic piano performance',house,'hungarian contemporary classical',hyphy,'icelandic classical','icelandic electronic','icelandic indie','icelandic pop','icelandic rock',idol,'idol rock','indian folk','indian indie','indian pop','indian rock','indie anthem-folk','indie catala',indiecoustica,'indie deutschrap','indie dream pop','indie electro-pop','indie folk','indie garage rock','indie jazz','indie pop','indie pop rap','indie poptimism','indie psych-pop','indie psych-rock','indie punk','indie quebecois','indie r&b','indie rock','indie rockism','indie surf',indietronica,'indonesian hip hop','indonesian indie','indonesian jazz','indonesian pop',industrial,'industrial metal','industrial rock','instrumental funk','instrumental post-rock','instrumental rock','intelligent dance music','iraqi pop','irish classical','irish hip hop','irish neo-traditional','irish rock','irish singer-songwriter','israeli hip hop','israeli indie','israeli mediterranean','israeli metal','israeli pop','israeli rock','italian baroque','italian contemporary classical','italian hip hop','italian metal','italian opera','italian pop','italian renaissance','italo dance','jam band','jangle pop','japanese city pop','japanese classical','japanese jazz','japanese jazztronica','japanese r&b',jazz,'jazz blues','jazz boom bap','jazz double bass','jazz electric bass','jazz funk','jazz fusion','jazz guitar','jazz metal','jazz mexicano','jazz organ','jazz piano','jazz rap','jazz saxophone','jazz trio','jazz trombone','jazz trumpet','jazz vibraphone',j-dance,j-idol,j-indie,j-metal,j-pop,j-punk,j-rap,j-rock,'jump blues','jump up',khaliji,k-hop,k-indie,'kindie rock','kiwi rock',kompa,'korean pop','korean r&b',k-pop,krautrock,k-rock,'kwaito house',laboratorio,'la indie','late romantic era','latin arena pop','latin classical','latin hip hop','latin jazz','latin pop','latin rock',latintronica,'latin viral pop','lebanese pop','lgbtq hip hop','lift kit',lilith,'liquid funk',lo-fi,'lo-fi beats','louisiana blues','louisville indie',lounge,louvor,'lovers rock',madchester,'malaysian hip hop','malaysian pop',mallet,'malmo indie',mambo,mandible,mathcore,'math pop','math rock',mbira,medieval,'medieval rock',meditation,melancholia,'melbourne bounce','melbourne indie','mellow gold','melodic death metal','melodic hardcore','melodic hard rock','melodic metalcore','melodic progressive metal',melodipop,'memphis blues','memphis hip hop','memphis soul',merengue,merseybeat,metal,metalcore,'metallic hardcore',metropopolis,'mexican classical','mexican indie','mexican pop','mexican rock',microhouse,minimal,'minimal tech house','minimal techno','minneapolis indie','modern alternative rock','modern blues','modern blues rock','modern bollywood','modern country rock','modern hard rock','modern rock','modern ska punk',moombahton,motown,'musique concrete','nashville indie','nashville sound','neo classical metal',neo-psychedelic,'neo soul',neo-synthpop,'neo-trad doom metal','neo-trad metal',nepali,'new age','new age piano','new americana','newfoundland indie','new jack swing','new jersey indie','new orleans blues','new orleans funk','new orleans jazz','new rave','new romantic','new wave','new wave pop','new weird america','nigerian hip hop',ninja,'noise pop','noise rock','nordic contemporary classical','northern irish indie','northern soul','norwegian alternative','norwegian classical','norwegian metal','norwegian pop','norwegian pop rap','norwegian rock','no wave','nu age','nu disco','nueva cancion','nu gaze','nu jazz','nu metal',nwobhm,'nz hip hop','nz pop','nz singer-songwriter',oi,'ok indie','old school hip hop',old-time,'operatic pop','orchestral performance','oriental metal','orquesta tipica','outlaw country','outsider house','pagan black metal','pakistani pop','palestinian pop','panamanian pop','permanent wave','persian pop','perth indie','p funk','philly indie','piano blues','piano rock','piedmont blues','pinoy hip hop',pixie,'polish classical','polish contemporary classical','polish jazz','polish modern jazz',pop,'pop catracho','pop emo',popgaze,'pop punk','pop quebecois','pop rap','pop reggaeton','pop rock','portland indie','portuguese pop',post-disco,'post-doom metal',post-grunge,post-hardcore,post-metal,post-punk,post-rock,'post-romantic era',post-screamo,'post-teen pop','power metal','power pop','power-pop punk',preverb,'progressive alternative','progressive bluegrass','progressive deathcore','progressive electro house','progressive house','progressive metal','progressive post-hardcore','progressive rock','progressive trance','progressive trance house',protopunk,'psychedelic doom','psychedelic rock',psychobilly,'puerto rican indie',punjabi,punk,'punk blues',qawwali,'quebec indie','quiet storm',ragtime,rai,rap,'rap conscient','rap cristiano','rap dominicano','rap maroc','rap metal','rap rock',r&b,'red dirt',reggae,'reggae fusion','reggae rock',reggaeton,'reggaeton flow',renaissance,'retro metal','rhythm and blues',riddim,rif,'riot grrrl',rock,rockabilly,rock-and-roll,'rock cristiano','rock en espanol','rock nacional','rock steady','roots americana','roots reggae','roots rock','rune folk','russian contemporary classical','russian modern classical','russian romanticism','rva indie',salsa,'sci-fi metal',scorecore,'scottish indie','scottish indie rock','scottish new wave','scottish rock',screamo,'seattle indie',serialism,'sheffield indie',shibuya-kei,'shimmer pop','shiver pop',shoegaze,'show tunes',singer-songwriter,ska,'ska argentino','ska punk','ska revival','skate punk','sky room','slack-key guitar','sleaze rock','slow core','sludge metal','small room','smooth jazz','smooth soul',soca,'soft rock',soul,'soul blues','soul jazz','south african hip hop','south african pop','southern hip hop','southern rock','southern soul','space age pop','space rock','spanish indie pop','spanish modern rock','spanish noise pop','spanish pop','spanish pop rock','spanish punk','spanish reggae','spanish rock','speed garage','speed metal','steel guitar','stomp and flutter','stomp and holler','stoner metal','stoner rock','straight edge',stride,sufi,'surf music','swedish alternative rock','swedish americana','swedish classical','swedish electropop','swedish hardcore','swedish idol pop','swedish indie pop','swedish indie rock','swedish jazz','swedish metal','swedish pop','swedish reggae','swedish singer-songwriter','swedish soul','swedish synthpop',swing,'symphonic metal','symphonic power metal','symphonic rock',synthpop,'syrian pop',tango,'tech house',techno,'teen pop','texas blues','texas country','thrash core','thrash metal','tin pan alley','toronto indie',tracestep,'traditional blues','traditional country','traditional folk',trance,'trap music','trap queen',traprun,'trap soul','tribal house','trip hop',tropical,'tropical house','tropical pop edm',trova,'turkish alternative','turkish alternative rock','turkish hip hop','turkish jazz','turkish modern jazz','turkish pop','turkish rock','turkish singer-songwriter','turkish trap',turntablism,'twee pop',tzadik,'uk alternative hip hop','uk americana','uk contemporary r&b','uk drill','uk funky','uk garage','uk hip hop','uk post-punk','ukrainian classical',ukulele,'underground hip hop','uplifting trance','urban contemporary','vancouver indie','vancouver punk','vapor pop','vapor soul','vapor trap','vapor twitch',vaporwave,'vegan straight edge','venezuelan rock','vienna indie','vintage french electronic','vintage tango','viral pop','vocal house','vocal jazz','warm drone',wave,'west australian hip hop','west coast rap','west coast trap','witch house',wonky,'world fusion','world worship','ye ye','zim urban groove',zolo,zouk}
@attribute bluesroots {FALSE,TRUE}
@attribute classical {TRUE,FALSE}
@attribute country {FALSE,TRUE}
@attribute electronic {FALSE,TRUE}
@attribute folk {FALSE,TRUE}
@attribute funksoul {FALSE,TRUE}
@attribute hiphop {FALSE,TRUE}
@attribute jazz {FALSE,TRUE}
@attribute metalpunk {FALSE,TRUE}
@attribute pop {FALSE,TRUE}
@attribute reggaedub {FALSE,TRUE}
@attribute rock {FALSE,TRUE}
@attribute world {FALSE,TRUE}

@data
'memphis soul',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
merengue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
merseybeat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
metalcore,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'metallic hardcore',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
metropopolis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'mexican classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'mexican indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'mexican pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'mexican rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
microhouse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
minimal,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'minimal tech house',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'minimal techno',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'minneapolis indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern alternative rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'modern blues rock',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern bollywood',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'modern country rock',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern hard rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'modern ska punk',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
moombahton,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
motown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'musique concrete',FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'nashville indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'nashville sound',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'neo classical metal',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
neo-psychedelic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'neo soul',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
neo-synthpop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'neo-trad doom metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'neo-trad metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
nepali,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'new age',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'new age piano',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'new americana',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'newfoundland indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'new jack swing',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'new jersey indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'new orleans blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'new orleans funk',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'new orleans jazz',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'new rave',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'new romantic',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'new wave',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'new wave pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'new weird america',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
'nigerian hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ninja,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'noise pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
'noise rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'nordic contemporary classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'northern irish indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'northern soul',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'norwegian alternative',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'norwegian classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'norwegian metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'norwegian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'norwegian pop rap',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'norwegian rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'no wave',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
'nu age',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'nu disco',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'nueva cancion',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'nu gaze',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'nu jazz',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'nu metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
nwobhm,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'nz hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'nz pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'nz singer-songwriter',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
oi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'ok indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'old school hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
old-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'operatic pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'orchestral performance',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'oriental metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'orquesta tipica',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'outlaw country',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'outsider house',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'pagan black metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'pakistani pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
'palestinian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
'panamanian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
'permanent wave',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'persian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
'perth indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'p funk',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'philly indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'piano blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'piano rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'piedmont blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'pinoy hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pixie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'polish classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'polish contemporary classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'polish jazz',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'polish modern jazz',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'pop catracho',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'pop emo',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
popgaze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
'pop punk',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
'pop quebecois',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
